S2|D: 0.557m,0069|108|205.199996|205.0000000|15.0000000
S1|D: 0.579m,0131|107|205.577790| 5.0000000|15.0000000
M2|done|0.00|109|1|     205.864556
M3|done|0.00|110|1|     205.873620
S1|D: 0.540m,0083|111|206.472664| 5.0000000| 0.0000000
S2|D: 0.533m,0056|112|206.481452|205.0000000| 0.0000000
M1|done|10.00|113|0|     206.927403
S1|D: 0.539m,0089|114|207.528504|10.0000000| 0.0000000
S2|D: 0.533m,0066|115|207.531625|210.0000000| 0.0000000
M2|done|0.00|116|1|     207.532176
M3|done|0.00|117|1|     207.536519
S1|D: 0.539m,0066|118|208.136617|10.0000000| 0.0000000
S2|D: 0.533m,0062|119|208.141579|210.0000000| 0.0000000
M2|done|15.00|120|0|     208.427827
M3|done|15.00|121|0|     208.432658
S2|D: 0.556m,0072|123|209.041870|210.0000000|15.0000000
S1|D: 0.575m,0122|122|209.410535|10.0000000|15.0000000
M2|done|30.00|124|0|     209.696956
M3|done|30.00|125|0|     209.700558
S1|D: 0.494m,0125|126|210.679066|10.0000000|30.0000000
S2|D: 0.610m,0097|127|210.684493|210.0000000|30.0000000
M2|done|45.00|128|0|     210.970745
M3|done|45.00|129|0|     210.977617
S2|D: 0.444m,0088|131|211.585649|210.0000000|45.0000000
S1|D: 0.375m,0095|130|211.955536|10.0000000|45.0000000
M2|done|60.00|132|0|     212.243271
M3|done|60.00|133|0|     212.248195
S1|D: 0.318m,0083|134|212.847454|10.0000000|60.0000000
S2|D: 0.362m,0065|135|212.856680|210.0000000|60.0000000
M2|done|75.00|136|0|     213.142973
M3|done|75.00|137|0|     213.152667
S1|D: 0.293m,0062|138|213.752492|10.0000000|75.0000000
S2|D: 0.320m,0049|139|213.756496|210.0000000|75.0000000
M2|done|90.00|140|0|     214.042785
M3|done|90.00|141|0|     214.044305
S1|D: 0.276m,0069|142|214.643041|10.0000000|90.0000000
S2|D: 0.305m,0049|143|214.646683|210.0000000|90.0000000
M2|done|105.00|144|0|     214.933066
M3|done|105.00|145|0|     214.938649
S1|D: 0.278m,0056|146|215.537458|10.0000000|105.0000000
S2|D: 0.307m,0043|147|215.547493|210.0000000|105.0000000
M2|done|120.00|148|0|     215.835271
M3|done|120.00|149|0|     215.838818
S1|D: 0.297m,0069|150|216.438618|10.0000000|120.0000000
S2|D: 0.331m,0047|151|216.439700|210.0000000|120.0000000
M2|done|135.00|152|0|     216.726083
M3|done|135.00|153|0|     216.729602
S2|D: 0.379m,0052|155|217.328872|210.0000000|135.0000000
S1|D: 0.342m,0098|154|217.329665|10.0000000|135.0000000
M2|done|150.00|156|0|     217.618934
M3|done|150.00|157|0|     217.624967
S2|D: 0.317m,0091|159|218.231653|210.0000000|150.0000000
S1|D: 0.089m,0242|158|219.361818|10.0000000|150.0000000
M2|done|165.00|160|0|     219.648358
M3|done|165.00|161|1|     219.655945
M1|done|15.00|162|0|     219.822379
S1|D: 0.074m,0249|163|221.559001|15.0000000|165.0000000
S2|D: 0.101m,0201|164|221.560789|215.0000000|165.0000000
M2|done|165.00|165|0|     221.563214
M3|done|165.00|166|1|     221.566502
S1|D: 0.073m,0270|167|223.303618|15.0000000|165.0000000
S2|D: 0.102m,0205|168|223.307868|215.0000000|165.0000000
M3|done|150.00|170|0|     223.597071
M2|done|150.00|169|0|     223.594154
S2|D: 0.315m,0065|172|224.207775|215.0000000|150.0000000
S1|D: 0.090m,0176|171|225.334626|15.0000000|150.0000000
M2|done|135.00|173|0|     225.621072
M3|done|135.00|174|0|     225.624116
S1|D: 0.338m,0082|175|226.224637|15.0000000|135.0000000
S2|D: 0.375m,0069|176|226.228650|215.0000000|135.0000000
M2|done|120.00|177|0|     226.514883
M3|done|120.00|178|0|     226.523795
S1|D: 0.293m,0074|179|227.122698|15.0000000|120.0000000
S2|D: 0.327m,0054|180|227.128551|215.0000000|120.0000000
M2|done|105.00|181|0|     227.415161
M3|done|105.00|182|0|     227.423639
S1|D: 0.273m,0052|183|228.022638|15.0000000|105.0000000
S2|D: 0.304m,0051|184|228.028795|215.0000000|105.0000000
